Categoria: Artes e entretenimento

Semana,brás são paulo: (Mundo)
2022-01-02,82
2022-01-09,75
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,55
2022-02-20,0
2022-02-27,69
2022-03-06,0
2022-03-13,27
2022-03-20,0
2022-03-27,87
2022-04-03,49
2022-04-10,41
2022-04-17,0
2022-04-24,0
2022-05-01,100
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,76
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,31
2022-09-04,0
2022-09-11,0
2022-09-18,38
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,33
2022-10-23,45
2022-10-30,65
2022-11-06,0
2022-11-13,52
2022-11-20,0
2022-11-27,0
2022-12-04,46
2022-12-11,36
2022-12-18,0
2022-12-25,0
