Categoria: Comercial e industrial

Semana,cambuci são paulo: (Mundo)
2022-01-02,44
2022-01-09,87
2022-01-16,32
2022-01-23,37
2022-01-30,0
2022-02-06,0
2022-02-13,34
2022-02-20,0
2022-02-27,41
2022-03-06,34
2022-03-13,0
2022-03-20,0
2022-03-27,27
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,22
2022-05-01,0
2022-05-08,47
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,31
2022-06-19,0
2022-06-26,44
2022-07-03,0
2022-07-10,0
2022-07-17,78
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,35
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,55
2022-09-25,41
2022-10-02,0
2022-10-09,100
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,29
2022-12-18,77
2022-12-25,0
