,bar,bbq,biergarten,cafe,drinking_water,fast_food,food_court,ice_cream,pub,restaurant,college,driving_school,kindergarten,language_school,library,toy_library,music_school,school,university,bicycle_parking,bicycle_repair_station,bicycle_rental,boat_rental,boat_sharing,bus_station,car_rental,car_sharing,car_wash,vehicle_inspection,charging_station,ferry_terminal,fuel,grit_bin,motorcycle_parking,parking,parking_entrance,parking_space,taxi,atm,bank,bureau_de_change,baby_hatch,clinic,dentist,doctors,hospital,nursing_home,pharmacy,social_facility,veterinary,arts_centre,brothel,casino,cinema,community_centre,fountain,gambling,nightclub,planetarium,public_bookcase,social_centre,stripclub,studio,swingerclub,theatre,animal_boarding,animal_shelter,baking_oven,bench,childcare,clock,conference_centre,courthouse,crematorium,dive_centre,embassy,fire_station,give_box,grave_yard,hunting_stand,internet_cafe,kitchen,kneipp_water_cure,marketplace,monastery,photo_booth,place_of_worship,police,post_box,post_depot,post_office,prison,public_bath,ranger_station,recycling,refugee_site,sanitary_dump_station,shelter,shower,telephone,toilets,townhall,vending_machinne,waste_basket,waste_disposal,waste_transfer_station,watering_place,water_point,trends_anual
1,8,0,0,13,2,35,0,4,3,71,0,3,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,2,0,0,0,2,0,0,49,3,0,20,9,50,0,0,2,1,0,1,0,16,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,3,0,0,5,0,0,0,0,0,0,0,0,36,7,2,0,0,0,0,0,0,26.51923076923077
2,1,0,0,2,7,4,0,0,11,11,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6,0,0,6,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,65.13461538461539
4,16,0,0,14,1,36,1,2,8,77,1,0,0,0,1,0,0,5,1,2,0,1,0,0,0,4,0,2,0,0,0,2,0,0,57,1,1,23,1,18,1,0,5,4,0,2,0,6,1,2,2,0,0,1,0,1,0,8,0,0,0,0,1,0,7,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,60.59615384615385
5,4,0,0,3,0,13,0,0,4,38,0,0,1,1,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,30,3,0,13,1,17,0,0,5,1,1,1,0,9,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,43.88461538461539
6,9,0,0,3,2,14,0,2,6,41,1,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,7,0,0,0,10,0,0,1,2,0,6,1,17,0,0,1,7,0,1,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,1,0,0,3,0,0,0,0,0,0,1,0,10,1,0,0,37,0,0,0,0,50.30769230769231
7,8,0,0,2,1,18,0,0,1,13,0,0,1,0,1,0,0,4,0,1,0,0,0,0,3,1,0,0,0,0,0,3,0,0,5,1,0,16,0,3,0,0,2,4,0,0,0,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,3,2,1,0,0,1,0,0,0,73.6923076923077
8,4,0,0,2,0,13,0,0,16,19,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,20,2,0,8,0,6,0,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,69.90384615384616
9,3,0,0,1,0,29,0,2,25,34,1,1,0,2,1,0,0,3,0,0,0,2,0,0,2,0,0,7,0,1,0,1,0,2,13,9,0,14,8,0,1,0,2,3,0,2,0,6,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,1,2,0,0,1,0,0,3,2,6,7,1,0,0,0,0,0,1,33.76923076923077
10,0,0,0,1,0,4,0,0,1,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,2,1,0,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,32.55769230769231
11,2,0,0,18,2,15,0,2,1,28,0,0,2,0,1,0,0,7,0,1,0,1,0,0,0,0,0,0,1,0,0,9,0,0,14,9,0,6,4,10,0,0,0,1,2,0,0,11,1,0,2,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,72.71153846153847
12,3,0,0,3,0,50,0,0,73,72,0,1,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,4,0,0,0,8,0,1,92,21,4,18,1,12,0,0,2,3,0,0,0,7,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,12,3,0,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,34.73076923076923
13,2,0,0,2,0,12,0,1,10,11,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,4,1,0,16,1,7,0,0,0,6,1,3,0,9,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41.05769230769231
14,62,0,1,39,0,90,0,5,24,192,2,1,1,1,5,0,1,9,0,23,1,31,0,0,1,1,0,10,0,0,0,12,0,0,119,10,5,80,4,24,0,0,3,9,0,2,0,27,0,2,5,0,0,1,1,1,0,3,0,0,0,0,1,0,3,0,0,0,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,4,0,0,0,1,0,0,0,0,15,3,0,0,0,0,0,0,0,75.59615384615384
15,7,0,0,21,1,15,0,0,4,64,0,0,0,1,1,0,0,2,0,13,0,56,0,0,0,0,0,1,0,1,0,4,0,0,17,9,0,18,0,32,0,0,3,0,4,0,0,13,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,6,0,0,0,0,59.28846153846154
16,4,0,0,13,0,32,0,2,15,34,3,3,0,1,0,0,1,10,2,5,0,3,0,0,0,0,0,6,0,0,0,10,0,0,8,4,0,12,0,19,0,0,6,4,3,2,0,22,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,51.78846153846154
17,2,0,0,2,0,8,0,1,1,9,0,0,0,1,2,0,0,3,1,2,0,0,0,0,3,0,0,2,0,0,0,7,0,0,3,3,0,4,0,9,0,0,0,1,1,2,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,38.15384615384615
19,2,0,0,0,0,11,0,1,29,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,3,0,3,0,2,0,0,1,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,72.92307692307692
20,0,0,0,1,0,10,0,0,6,9,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,1,0,5,0,4,0,0,2,1,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,26.26923076923077
